Address,location,Lat,Lon
42 ESCHER ST Trenton New Jersey,"42, Escher Street, North Trenton, Trenton, Mercer County, New Jersey, 08609, United States",40.22713776964165,-74.75498407527594
200 N CLINTON AVE Trenton New Jersey,"Monchy Deli Grocery, 200, North Clinton Avenue, Trenton, Mercer County, New Jersey, 08638, United States",40.2257446,-74.7527987
637 N OLDEN AVE Trenton New Jersey,"Jersey Precast, 637, North Olden Avenue, Trenton, Mercer County, New Jersey, 08638, United States",40.2328694,-74.7467518
110 114 S WARREN ST Trenton New Jersey,"110, South Warren Street, Mill Hill, Trenton, Mercer County, New Jersey, 08608, United States",40.21915496484761,-74.76593343047485
1395 NEW YORK AVE Trenton New Jersey,"1395, New York Avenue, Trenton, Mercer County, New Jersey, 08638, United States",40.24282751020408,-74.73819553061224
39 MEADE ST Trenton New Jersey,"HomeLife Company, 39, Meade Street, Trenton, Mercer County, New Jersey, 08638, United States",40.2319302,-74.7473985
76 LINCOLN AVE Trenton New Jersey,"76, Lincoln Avenue, Trenton, Mercer County, New Jersey, 08609, United States",40.22492,-74.750598
310 S WARREN ST Trenton New Jersey,"310, South Warren Street, Mill Hill, Trenton, Mercer County, New Jersey, 08608, United States",40.216937962244884,-74.76560949982141
467 CALHOUN ST Trenton New Jersey,"467, Calhoun Street, North Trenton, Trenton, Mercer County, New Jersey, 08618, United States",40.22826209090909,-74.76942163636365
780 N CLINTON AVE Trenton New Jersey,"780, North Clinton Avenue, Trenton, Mercer County, New Jersey, 08638, United States",40.23285865306123,-74.74192275510204
305 N BROAD ST Trenton New Jersey,"North Broad Street, Mill Hill, Trenton, Mercer County, New Jersey, 08618, United States",40.2213679,-74.7642766
40 FULD ST Trenton New Jersey,"Medical Arts Building, 40, Fuld Street, Trenton, Mercer County, New Jersey, 08638, United States",40.23495955,-74.75069782537977
215 225 W INGHAM AVE Trenton New Jersey,"215, West Ingham Avenue, North Trenton, Trenton, Mercer County, New Jersey, 08638, United States",40.232887857142856,-74.76500085714285
120 HAMILTON AVE Trenton New Jersey,"120, Hamilton Avenue, South Trenton, Trenton, Mercer County, New Jersey, 08609, United States",40.21389513884568,-74.75540058162869
500 SOUTHARD ST Trenton New Jersey,"500, Southard Street, North Trenton, Trenton, Mercer County, New Jersey, 08638, United States",40.22898850797834,-74.75755619972739
310 PROSPECT ST Trenton New Jersey,"310, Prospect Street, Central West, Trenton, Mercer County, New Jersey, 08618, United States",40.231120395713916,-74.77395497709225
257 N WILLOW ST Trenton New Jersey,"257, North Willow Street, North Trenton, Trenton, Mercer County, New Jersey, 08618, United States",40.225705695652174,-74.76761526086956
150 ROSSELL AVE Trenton New Jersey,"150, Rossell Avenue, North Trenton, Trenton, Mercer County, New Jersey, 08638, United States",40.235105585605965,-74.76106840569796
241 3RD ST Trenton New Jersey,"241, 3rd Street, Lamberton, Trenton, Mercer County, New Jersey, 08611, United States",40.204579,-74.755351
300 400 PENNINGTON AVE Trenton New Jersey,"300, Pennington Avenue, North Trenton, Trenton, Mercer County, New Jersey, 08618, United States",40.230369,-74.768974
51 TUCKER ST Trenton New Jersey,"51, Tucker Street, North Trenton, Trenton, Mercer County, New Jersey, 08618, United States",40.225195236510906,-74.76635529642516
1050 NEW YORK AVE Trenton New Jersey,"1050, New York Avenue, Trenton, Mercer County, New Jersey, 08638, United States",40.23960288888889,-74.74260284848485
33 39 CALHOUN ST Trenton New Jersey,"33, Calhoun Street, Central West, Trenton, Mercer County, New Jersey, 08618, United States",40.223202883114276,-74.77430631542465
304 E CANAL ST Trenton New Jersey,"304, East Canal Street, Mill Hill, Trenton, Mercer County, New Jersey, 08609, United States",40.2143226,-74.7557651
682 S BROAD ST Trenton New Jersey,"South Broad Street, Mill Hill, Trenton, Mercer County, New Jersey, 08611, United States",40.2140936,-74.7603157
1464 W STATE ST Trenton New Jersey,"West Ward Fire House, 1464, West State Street, Jefferson Elementary School Catchment Area, Trenton, Mercer County, New Jersey, 08618, United States",40.23631315,-74.79837581755586
599 N OLDEN AVE Trenton New Jersey,"599, North Olden Avenue, Trenton, Mercer County, New Jersey, 08638, United States",40.233148,-74.745384
101 HART AVE Trenton New Jersey,"101, Hart Avenue, Trenton, Mercer County, New Jersey, 08638, United States",40.228237847483975,-74.74790998041662
360 PENNINGTON AVE Trenton New Jersey,"Patriot Village, 360, Pennington Avenue, North Trenton, Trenton, Mercer County, New Jersey, 08618, United States",40.2323215,-74.76953501159389
1600 LAMBERTON RD Trenton New Jersey,"Trenton Biogas, 1600, Lamberton Road, Trenton, Mercer County, New Jersey, 08611, United States",40.188717600000004,-74.75127279065111
1570 PRINCETON AVE Trenton New Jersey,"1570, Princeton Avenue, Trenton, Mercer County, New Jersey, 08648, United States",40.2414681,-74.7508175
827 NEW YORK AVE Trenton New Jersey,"827, New York Avenue, Trenton, Mercer County, New Jersey, 08638, United States",40.2377036651683,-74.74569184769736
406 BRUNSWICK AVE Trenton New Jersey,"Roadrunner, 406, Brunswick Avenue, North Trenton, Trenton, Mercer County, New Jersey, 08608, United States",40.229728,-74.7581183
670 S CLINTON AVE Trenton New Jersey,"670, South Clinton Avenue, South Trenton, Trenton, Mercer County, New Jersey, 08611, United States",40.209811,-74.7522735
21 71 CLARK ST Trenton New Jersey,"21, Clark Street, South Trenton, Trenton, Mercer County, New Jersey, 08611, United States",40.212968918367345,-74.75465263265306
635 S CLINTON AVE Trenton New Jersey,"Chase, 635, South Clinton Avenue, South Trenton, Trenton, Mercer County, New Jersey, 08611, United States",40.2109047,-74.7545782
723 CHESTNUT AVE Trenton New Jersey,"723, Chestnut Avenue, Trenton, Mercer County, New Jersey, 08611, United States",40.20996634693878,-74.7461512244898
26 40 MULBERRY ST Trenton New Jersey,"26, Mulberry Street, Trenton, Mercer County, New Jersey, 08638, United States",40.23424078126697,-74.73938558294347
1474 W STATE ST Trenton New Jersey,"1474, West State Street, Jefferson Elementary School Catchment Area, Trenton, Mercer County, New Jersey, 08618, United States",40.23587474014358,-74.79809299826586
319 N OLDEN AVE Trenton New Jersey,"319, North Olden Avenue, Trenton, Mercer County, New Jersey, 08638, United States",40.230545625,-74.743525
101 W STATE ST Trenton New Jersey,"101, West State Street, Central West, Trenton, Mercer County, New Jersey, 08608, United States",40.220478,-74.768283
605 S BROAD ST Trenton New Jersey,"Central Motor Pool Service, 605, South Broad Street, South Trenton, Trenton, Mercer County, New Jersey, 08611, United States",40.20931625,-74.75597374670603
700 CALHOUN ST Trenton New Jersey,"Niger Motors, 700, Calhoun Street, North Trenton, Trenton, Mercer County, New Jersey, 08618, United States",40.2306591,-74.7664935
725 E STATE ST Trenton New Jersey,"725, East State Street, Trenton, Mercer County, New Jersey, 08609, United States",40.22191400161398,-74.74897711594672
59 S OLDEN AVE Trenton New Jersey,"59, South Olden Avenue, Trenton, Mercer County, New Jersey, 08609, United States",40.225804106983176,-74.73897296003128
319 E STATE ST Trenton New Jersey,"City Hall, 319, East State Street, Mill Hill, Trenton, Mercer County, New Jersey, 08619, United States",40.220331900000005,-74.75888967377281
191 N OLDEN AVE Trenton New Jersey,"191, North Olden Avenue, Trenton, Mercer County, New Jersey, 08638, United States",40.22959,-74.742725
375 ENTERPRISE AVE Trenton New Jersey,"375, Enterprise Avenue, Trenton, Mercer County, New Jersey, 08638, United States",40.24177911111111,-74.73424920000001
NEW WARREN ST Trenton New Jersey,"New Warren Street, Mill Hill, Trenton, Mercer County, New Jersey, 08611, United States",40.2129781,-74.7623814
430 NEW YORK AVE Trenton New Jersey,"430, New York Avenue, Trenton, Mercer County, New Jersey, 08638, United States",40.23366536363637,-74.75119645454545
621 HUDSON ST Trenton New Jersey,"621, Hudson Street, South Trenton, Trenton, Mercer County, New Jersey, 08611, United States",40.210333915089016,-74.75022115638335
225 N CLINTON AVE Trenton New Jersey,"City of Trenton Police Headquarters, 225, North Clinton Avenue, Trenton, Mercer County, New Jersey, 08638, United States",40.226771,-74.75327735558076
476 BRUNSWICK AVE Trenton New Jersey,"476, Brunswick Avenue, North Trenton, Trenton, Mercer County, New Jersey, 08608, United States",40.230772,-74.7558023
1502 LAMBERTON RD Trenton New Jersey,"Trenton Sewer Utility, 1502, Lamberton Road, Trenton, Mercer County, New Jersey, 08611, United States",40.18961695,-74.752569433954
320 S WARREN ST Trenton New Jersey,"Veolia Energy, 320, South Warren Street, Mill Hill, Trenton, Mercer County, New Jersey, 08608, United States",40.2166591,-74.76459589059459
WARREN ST Trenton New Jersey,"Warren Street Plaza, Mill Hill, Trenton, Mercer County, New Jersey, United States",40.22130695,-74.7660181817023
HART AVE Trenton New Jersey,"Hart Avenue, Trenton, Mercer County, New Jersey, 08638, United States",40.228784,-74.7483
145 149 N WILLOW ST Trenton New Jersey,"145, North Willow Street, North Trenton, Trenton, Mercer County, New Jersey, 08618, United States",40.22317164362978,-74.76784140193665
